brand,post_id,comments,views,likes,is_removed,unique_faces,detected_faces,is_product_in_usage,product_clearly_seen,is_a_child_or_baby_present,hashtag_ad_count,standalone_ad_count,most_common,words_count,paid_partnership,KEYWORDS_CAPTION,has_emoji,sponsor_integration_in_caption,CTA_BUY,CTA_GIFT,CTA_SIGN_UP,CTA_READ,CTA_FIND_OUT,PG_BRAND,COTERIE_BRAND,HEALTHYBABY_BRAND,HONEST_BRAND,HUGGIES_BRAND,KUDOSTOBABY_BRAND,LUVS_BRAND,MYMILLIEMOON_BRAND,FIRST_PERSON_QUESTIONS,GENERAL_AUDIENCE_QUESTIONS,NEGATIVE_HOOK,brand_counts,narrative_changes,brand_as_sponsor,num_scenes
pampersus,C85gvKvyYuO,6,0,40,False,13.0,29.0,False,True,True,0,0,equal,29,1,True,True,0.6551724137931034,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,143.0
pampersus,C6y2BoCL_F-,5,0,40,False,,,,,,0,0,equal,73,1,False,False,1.0136986301369864,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C6yvoNBuotL,20,0,58,False,29.0,60.0,False,True,True,0,0,equal,46,1,False,False,1.0217391304347827,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,127.0
pampersus,C3gSdARPf4W,35,0,167,False,1.0,1.0,False,True,True,0,0,equal,20,1,False,False,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C1YC1dwMauN,3,0,194,False,0.0,0.0,True,True,True,0,0,equal,111,1,False,True,0.3513513513513513,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C74k0dnSmtP,53,0,3,False,,,,,,1,0,hashtag_ad,61,0,False,True,0.0491803278688524,True,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C2hps6UgHby,2,0,7,False,219.0,382.0,False,True,True,1,0,hashtag_ad,63,0,False,True,0.1904761904761904,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,287.0
pampersus,C75M0emPXtA,1,0,3,False,44.0,53.0,True,True,True,1,0,hashtag_ad,29,0,False,False,0.4137931034482758,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,245.0
pampersus,C-qWekER-UE,34,0,3,False,28.0,49.0,True,True,True,1,0,hashtag_ad,40,0,True,False,0.275,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,319.0
pampersus,C-8ZINFJTN0,4,0,3,False,22.0,25.0,True,True,True,1,0,hashtag_ad,40,0,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,1.0,1.0,0.0,175.0
pampersus,C8H38rlgVtM,1,0,12,False,29.0,67.0,True,True,True,1,0,hashtag_ad,57,0,False,False,0.9298245614035088,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,149.0
pampersus,C_txe9fshvU,0,113,4,False,,,,,,1,0,hashtag_ad,33,0,True,False,0.8787878787878788,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C-EXfNpsxq6,0,56,5,False,35.0,75.0,True,True,True,1,0,hashtag_ad,48,0,True,True,0.1875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,1.0,0.0,269.0
pampersus,C8S7D46van0,6,0,133,False,7.0,7.0,False,False,True,0,0,equal,8,1,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C-L7Ys8S255,9,0,67,False,34.0,42.0,True,True,True,0,0,equal,34,1,False,False,0.7647058823529411,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,269.0
pampersus,C7LNJ7-rvmr,5,0,55,False,24.0,28.0,False,True,True,0,0,equal,35,1,False,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,0.0,51.0
pampersus,C2-naD3vRx6,1,0,26,False,1.0,1.0,False,False,True,0,0,equal,4,1,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,C8hO4jkOQgl,4,0,36,False,43.0,68.0,True,True,True,1,0,hashtag_ad,36,0,False,True,0.5555555555555556,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,1.0,0.0,257.0
pampersus,C8pDqmSOnDJ,2,0,6,False,37.0,89.0,False,True,False,1,0,hashtag_ad,26,0,False,False,0.2307692307692307,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,127.0
pampersus,C7oyxBVgHIp,6,0,25,False,43.0,370.0,False,True,True,1,0,hashtag_ad,11,0,False,False,0.5454545454545454,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,1.0,0.0,79.0
pampersus,C7SP9VBOv1U,34,0,1275,False,64.0,97.0,True,True,True,1,0,hashtag_ad,94,0,False,False,0.0531914893617021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,1.0,0.0,525.0
pampersus,C9U9cauO3R8,12,0,1178,False,35.0,84.0,False,True,True,1,0,hashtag_ad,40,0,False,False,0.425,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,202.0
pampersus,DBCCSeMS-70,16,0,927,False,95.0,125.0,True,True,True,1,0,hashtag_ad,13,0,False,False,0.8461538461538461,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,427.0
pampersus,C7wpAg-OpIc,119,0,21007,False,209.0,283.0,False,True,False,1,0,hashtag_ad,8,0,False,True,0.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,195.0
pampersus,C_34z4juj2N,31,0,4866,False,,,,,,1,0,hashtag_ad,27,0,False,True,0.6296296296296297,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,DAlxuF7P_WK,47,0,20948,False,,,,,,1,0,hashtag_ad,14,0,False,True,0.0,False,False,False,False,False,,,,,,,,,,,,,,,
pampersus,DBCH6AsSoZA,224,0,9461,False,15.0,23.0,False,True,False,1,0,hashtag_ad,24,0,False,True,0.5833333333333334,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,273.0
pampersus,C8xfcUSyDhv,16,0,3,False,11.0,22.0,True,True,True,1,0,hashtag_ad,63,0,True,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,159.0
pampersus,C9NpZJIS3cq,80,0,3,False,39.0,107.0,False,True,True,1,0,hashtag_ad,71,0,False,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,367.0
pampersus,C8247EBuf3Q,62,0,13895,False,55.0,137.0,False,True,False,1,0,hashtag_ad,14,0,False,True,0.7142857142857143,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,289.0
pampersus,C69Ee2pJnBy,21,0,113,False,37.0,57.0,False,True,True,1,0,hashtag_ad,30,0,False,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,133.0
pampersus,C8UVv9uJ3FW,20,0,5700,False,78.0,101.0,True,True,True,1,0,hashtag_ad,46,0,True,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,1.0,0.0,589.0
pampersus,C8udESnRVSU,46,0,5769,False,93.0,146.0,True,True,True,1,0,hashtag_ad,45,0,False,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,479.0
pampersus,C95YSx7hArU,8,0,132,False,29.0,61.0,False,True,True,1,0,hashtag_ad,65,0,False,True,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,0.0,2.0
pampersus,C7j23xUR-1B,44,0,5261,False,46.0,70.0,True,True,True,1,0,hashtag_ad,97,0,False,True,0.268041237113402,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,277.0
pampersus,DBUevVLS-e6,88,0,2180,False,101.0,133.0,False,True,True,1,0,hashtag_ad,62,0,False,False,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,383.0
pampersus,C8xTBtERygC,7,0,98,False,48.0,121.0,True,True,True,1,0,hashtag_ad,18,0,False,False,0.3888888888888889,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,263.0
pampersus,C7olDiDOpXR,42,0,3,False,82.0,117.0,True,True,True,1,0,hashtag_ad,78,0,False,False,0.1923076923076923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,191.0
